episode,timestep,return
1084,159701,-110.0
1085,159808,-107.0
1086,159962,-154.0
1087,160080,-118.0
1088,160198,-118.0
1089,160309,-111.0
1090,160432,-123.0
1091,160539,-107.0
1092,160631,-92.0
1093,160742,-111.0
1094,160850,-108.0
1095,160938,-88.0
1096,161121,-183.0
1097,161235,-114.0
1098,161337,-102.0
1099,161451,-114.0
1100,161571,-120.0
1101,161685,-114.0
1102,161809,-124.0
1103,161924,-115.0
1104,162024,-100.0
1105,162129,-105.0
1106,162232,-103.0
1107,162364,-132.0
1108,162467,-103.0
1109,162574,-107.0
1110,162697,-123.0
1111,162791,-94.0
1112,162897,-106.0
1113,162992,-95.0
1114,163110,-118.0
1115,163195,-85.0
1116,163290,-95.0
1117,163461,-171.0
1118,163553,-92.0
1119,163679,-126.0
1120,163770,-91.0
1121,163891,-121.0
1122,163982,-91.0
1123,164089,-107.0
1124,164177,-88.0
1125,164264,-87.0
1126,164359,-95.0
1127,164534,-175.0
1128,164711,-177.0
1129,164818,-107.0
1130,164935,-117.0
1131,165046,-111.0
1132,165166,-120.0
1133,165364,-198.0
1134,165486,-122.0
1135,165574,-88.0
1136,165686,-112.0
1137,165802,-116.0
1138,165918,-116.0
1139,166039,-121.0
1140,166154,-115.0
1141,166330,-176.0
1142,166444,-114.0
1143,166533,-89.0
1144,166650,-117.0
1145,166764,-114.0
1146,166960,-196.0
1147,167102,-142.0
1148,167213,-111.0
1149,167338,-125.0
1150,167451,-113.0
1151,167579,-128.0
1152,167680,-101.0
1153,167875,-195.0
1154,167987,-112.0
1155,168098,-111.0
1156,168299,-201.0
1157,168406,-107.0
1158,168529,-123.0
1159,168637,-108.0
1160,168750,-113.0
1161,168878,-128.0
1162,168992,-114.0
1163,169166,-174.0
1164,169261,-95.0
1165,169355,-94.0
1166,169533,-178.0
1167,169627,-94.0
1168,169756,-129.0
1169,169914,-158.0
1170,170021,-107.0
1171,170155,-134.0
1172,170274,-119.0
1173,170382,-108.0
1174,170494,-112.0
1175,170686,-192.0
1176,170824,-138.0
1177,170946,-122.0
1178,171032,-86.0
1179,171118,-86.0
1180,171236,-118.0
1181,171348,-112.0
1182,171444,-96.0
1183,171554,-110.0
1184,171685,-131.0
1185,171798,-113.0
1186,171904,-106.0
1187,172022,-118.0
1188,172111,-89.0
1189,172241,-130.0
1190,172360,-119.0
1191,172550,-190.0
1192,172658,-108.0
1193,172749,-91.0
1194,172869,-120.0
1195,173026,-157.0
1196,173144,-118.0
1197,173233,-89.0
1198,173347,-114.0
1199,173444,-97.0
1200,173535,-91.0
1201,173649,-114.0
1202,173761,-112.0
1203,173922,-161.0
1204,174015,-93.0
1205,174132,-117.0
1206,174269,-137.0
1207,174377,-108.0
1208,174541,-164.0
1209,174654,-113.0
1210,174858,-204.0
1211,174966,-108.0
1212,175067,-101.0
1213,175192,-125.0
1214,175304,-112.0
1215,175408,-104.0
1216,175543,-135.0
1217,175650,-107.0
1218,175759,-109.0
1219,175875,-116.0
1220,176053,-178.0
1221,176146,-93.0
1222,176255,-109.0
1223,176361,-106.0
1224,176469,-108.0
1225,176555,-86.0
1226,176658,-103.0
1227,176756,-98.0
1228,176866,-110.0
1229,176972,-106.0
1230,177139,-167.0
1231,177257,-118.0
1232,177353,-96.0
1233,177447,-94.0
1234,177531,-84.0
1235,177628,-97.0
1236,177743,-115.0
1237,177832,-89.0
1238,177945,-113.0
1239,178056,-111.0
1240,178166,-110.0
1241,178292,-126.0
1242,178401,-109.0
1243,178510,-109.0
1244,178606,-96.0
1245,178726,-120.0
1246,178835,-109.0
1247,178952,-117.0
1248,179046,-94.0
1249,179137,-91.0
1250,179264,-127.0
1251,179350,-86.0
1252,179501,-151.0
1253,179612,-111.0
1254,179738,-126.0
1255,179854,-116.0
1256,179966,-112.0
1257,180075,-109.0
1258,180190,-115.0
1259,180280,-90.0
1260,180399,-119.0
1261,180509,-110.0
1262,180619,-110.0
1263,180747,-128.0
1264,180834,-87.0
1265,181005,-171.0
1266,181119,-114.0
1267,181231,-112.0
1268,181359,-128.0
1269,181480,-121.0
1270,181606,-126.0
1271,181716,-110.0
1272,181810,-94.0
1273,181908,-98.0
1274,182032,-124.0
1275,182222,-190.0
1276,182333,-111.0
1277,182457,-124.0
1278,182573,-116.0
1279,182686,-113.0
1280,182779,-93.0
1281,182908,-129.0
1282,183023,-115.0
1283,183143,-120.0
1284,183307,-164.0
1285,183456,-149.0
1286,183551,-95.0
1287,183670,-119.0
1288,183830,-160.0
1289,183922,-92.0
1290,184035,-113.0
1291,184129,-94.0
1292,184249,-120.0
1293,184355,-106.0
1294,184478,-123.0
1295,184565,-87.0
1296,184685,-120.0
1297,184782,-97.0
1298,184885,-103.0
1299,185004,-119.0
1300,185108,-104.0
1301,185217,-109.0
1302,185309,-92.0
1303,185402,-93.0
1304,185533,-131.0
1305,185656,-123.0
1306,185810,-154.0
1307,185984,-174.0
1308,186149,-165.0
1309,186242,-93.0
1310,186399,-157.0
1311,186530,-131.0
1312,186647,-117.0
1313,186732,-85.0
1314,186857,-125.0
1315,186983,-126.0
1316,187157,-174.0
1317,187266,-109.0
1318,187458,-192.0
1319,187616,-158.0
1320,187731,-115.0
1321,187932,-201.0
1322,188042,-110.0
1323,188217,-175.0
1324,188321,-104.0
1325,188464,-143.0
1326,188626,-162.0
1327,188715,-89.0
1328,188801,-86.0
1329,188914,-113.0
1330,189103,-189.0
1331,189202,-99.0
1332,189294,-92.0
1333,189426,-132.0
1334,189539,-113.0
1335,189624,-85.0
1336,189731,-107.0
1337,189867,-136.0
1338,189975,-108.0
1339,190090,-115.0
1340,190211,-121.0
1341,190387,-176.0
1342,190477,-90.0
1343,190592,-115.0
1344,190700,-108.0
1345,190791,-91.0
1346,190911,-120.0
1347,191112,-201.0
1348,191254,-142.0
1349,191383,-129.0
1350,191506,-123.0
1351,191632,-126.0
1352,191760,-128.0
1353,191849,-89.0
1354,192053,-204.0
